sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
L23 8,2,520000.0,83,86.67721133957902,17,276000.0,0.8840579710144927,False,20,16,3,True,ok
RG20 0,2,725000.0,60,95.376566492274,32,385000.0,0.8831168831168832,False,20,31,0,True,ok
SW6 3,2,1600000.0,371,99.27606764813235,9,850000.0,0.8823529411764706,False,20,9,0,True,ok
LL73 8,2,414000.0,6,74.38252828811291,14,220600.0,0.8766999093381687,True,20,14,3,True,ok
TQ8 8,2,808000.0,175,96.7635965445918,6,431250.0,0.873623188405797,False,20,6,0,True,ok
KT11 2,2,1260000.0,435,98.75288964594232,18,672500.0,0.8736059479553904,False,20,18,0,True,ok
DE56 4,2,475000.0,243,82.6621243460275,20,253862.5,0.8710916342508248,False,20,20,0,True,ok
LS22 4,2,735000.0,63,95.6199050979438,27,393000.0,0.8702290076335877,False,20,27,0,True,ok
TF3 4,2,430000.0,3,77.35125927728434,12,230000.0,0.8695652173913044,True,20,12,0,True,ok
LS16 8,2,569950.0,245,89.88928093442024,19,305000.0,0.8686885245901639,False,20,19,0,True,ok
BS28 4,2,590000.0,135,91.08772356734396,24,316125.0,0.8663503361012257,False,20,24,0,True,ok
SO41 5,2,905000.0,34,97.54228008273512,11,485000.0,0.865979381443299,False,20,11,0,True,ok
BH3 7,2,582500.0,204,90.78355031025671,22,312500.0,0.8640000000000001,False,20,22,0,True,ok
B76 0,2,510000.0,10,85.96544591799488,19,275000.0,0.8545454545454545,True,20,19,0,True,ok
RG20 9,2,747500.0,154,95.85716023847183,25,404143.75,0.8495894097087979,False,20,24,0,True,ok
WD7 8,2,1040000.0,219,98.24187857403577,20,562500.0,0.8488888888888888,False,20,20,0,True,ok
PO20 7,2,710000.0,135,95.07239323518677,16,385000.0,0.8441558441558441,False,20,16,0,True,ok
NE33 1,2,234995.0,147,32.716875532303206,8,127500.0,0.8430980392156864,False,20,8,0,True,ok
CB3 9,2,971000.0,100,97.95595571237376,22,528000.0,0.8390151515151516,False,20,21,1,True,ok
WF2 6,2,358000.0,355,64.6854848521718,19,195000.0,0.8358974358974358,False,20,19,0,True,ok
DY7 5,2,507500.0,36,85.75252463803382,40,276500.0,0.8354430379746836,False,20,40,0,True,ok
L16 0,2,550000.0,21,88.66650444092954,24,300000.0,0.8333333333333333,False,20,24,0,True,ok
NE44 6,2,449125.0,56,79.59605791458814,20,245000.0,0.8331632653061225,False,20,20,0,True,ok
WC2R 1,2,1850000.0,23,99.48290546295168,16,1011250.0,0.8294190358467244,False,20,14,8,True,ok
S75 4,2,390000.0,165,70.97578780873586,34,213500.0,0.8266978922716628,False,20,34,1,True,ok
WA16 9,2,675000.0,147,94.12945613821633,27,370000.0,0.8243243243243243,False,20,27,0,True,ok
DY12 3,2,510000.0,24,85.96544591799488,22,279750.0,0.8230563002680966,False,20,22,0,True,ok
