sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
B35 7,96,218750.0,216432.85416666666,185000.0,243125.0,27.94135539603358,False,20
B36 0,392,246000.0,244628.82653061225,171375.0,310000.0,36.42778926876749,False,20
B36 8,251,215000.0,233136.89641434263,172750.0,272000.0,26.998418299063147,False,20
B36 9,332,263500.0,263952.015060241,185000.0,325000.0,41.67173622095145,False,20
B37 5,208,175000.0,178912.22115384616,150000.0,205000.0,15.500669181165591,False,20
B37 6,279,210000.0,207123.04659498206,170750.0,245000.0,25.6053047816036,False,20
B37 7,438,220000.0,255394.08447488584,170000.0,312250.0,28.555785375349803,False,20
B38 0,50,266500.0,301471.0,202850.0,347500.0,42.69375836476457,False,20
B38 8,362,250500.0,284741.71270718233,185000.0,324687.5,38.27716267185789,False,20
B38 9,291,210000.0,217565.27491408936,175000.0,250000.0,25.6053047816036,False,20
B4 6,158,309000.0,310086.5253164557,230000.0,369500.0,53.443241270227524,False,20
B4 7,23,265000.0,302776.0869565217,246012.5,371762.5,42.18274729285801,False,20
B42 1,308,220000.0,226635.4805194805,192375.0,255000.0,28.555785375349803,False,20
B42 2,495,217000.0,218060.40606060607,190500.0,245000.0,27.539846696678428,False,20
B43 5,335,232000.0,231689.81791044777,200000.0,264000.0,32.39445187979073,False,20
B43 6,222,297000.0,302906.8963963964,193500.0,385000.0,50.626596909599705,False,20
B43 7,566,250000.0,255626.27385159011,220000.0,286500.0,37.717483878817376,False,20
B44 0,370,186500.0,184542.03783783785,170000.0,205000.0,18.96216084681835,False,20
B44 8,379,210000.0,211678.99472295513,189593.5,240000.0,25.6053047816036,False,20
B44 9,408,210000.0,209483.9338235294,180000.0,236400.0,25.6053047816036,False,20
B45 0,160,180000.0,176971.875,162750.0,198250.0,16.912033094050372,False,20
B45 8,544,350000.0,428504.7113970588,218375.0,495500.0,63.219369753011314,False,20
B45 9,535,260000.0,260411.74953271027,205000.0,310000.0,40.716632193697535,False,20
B46 1,319,267500.0,273370.9968652038,200000.0,325000.0,42.84584499330819,False,20
B46 2,71,422000.0,478314.6338028169,274000.0,520000.0,75.91556150383258,False,20
B46 3,148,275000.0,301175.10135135136,198250.0,360625.0,44.84730502494221,False,20
B47 5,268,360000.0,376624.21268656716,310000.0,440000.0,65.14174473780265,False,20
B47 6,129,395000.0,415438.68217054266,313500.0,515000.0,71.68146976517824,False,20
B48 7,211,385000.0,447803.08056872035,304975.0,520000.0,70.2214381311595,False,20
B49 5,298,330000.0,367865.6644295302,272110.0,430000.0,59.15561503832583,False,20
B49 6,257,335000.0,419708.63813229575,250000.0,555500.0,60.3479742061078,False,20
B5 4,90,222134.0,226018.76666666666,154250.0,294912.0,29.297968122642658,False,20
B5 5,8,147499.5,143749.875,118125.0,156875.0,8.821024455529871,True,20
B5 6,42,256250.0,271688.1666666667,217500.0,330000.0,39.56077381676603,False,20
B5 7,147,225732.0,271663.38095238095,164975.0,319250.0,30.59982966297603,False,20
B50 4,267,310000.0,339595.94756554306,240000.0,406500.0,53.948168876992334,False,20
B6 4,10,148750.0,133500.0,90000.0,161250.0,9.009611874923957,True,20
B6 5,23,175000.0,150613.04347826086,80500.0,197500.0,15.500669181165591,False,20
B6 6,75,160000.0,170175.04,135000.0,202500.0,11.856673561260495,False,20
B6 7,44,150000.0,158290.81818181818,137500.0,172875.0,9.465871760554812,False,20
B60 1,304,365000.0,386671.07236842107,260000.0,475000.0,66.10293223019832,False,20
B60 2,371,340000.0,358994.3665768194,252500.0,450000.0,61.309161698503466,False,20
